Date,Open,High,Low,Close,Volume
2023-05-01,105.96,107.1,105.94,106.32,26681700
2023-05-02,106.26,106.32,102.86,104.46,30997200
2023-05-03,104.66,106.61,104.1,104.55,21795400
2023-05-04,104.63,104.73,103.12,103.83,23419500
2023-05-05,103.96,105.01,103.26,104.7,26639300
2023-05-08,104.32,107.08,104.3,106.89,26511400
2023-05-09,107.5,109.25,106.31,106.47,36360100
2023-05-10,107.08,112.01,107.05,110.83,63153400
2023-05-11,114.45,116.95,113.47,115.61,78900000
2023-05-12,115.72,117.06,115.16,116.55,41102300
2023-05-15,115.16,117.51,115.06,115.55,36266800
2023-05-16,115.54,119.76,115.48,118.53,45035600
2023-05-17,118.63,120.67,117.92,119.85,33323600
2023-05-18,119.96,122.3,119.84,121.82,35234200
2023-05-19,122.54,124.94,121.15,121.75,41353400
2023-05-22,121.93,125.39,121.73,124.02,35253000
2023-05-23,123.14,123.61,121.21,121.56,34046300
2023-05-24,120.13,120.91,118.88,119.91,34182600
2023-05-25,123.5,124.29,120.96,122.47,42317000
2023-05-26,122.16,124.23,121.45,123.59,35635900
2023-05-30,124.61,124.63,121.0,122.66,35076700
2023-05-31,121.74,123.04,121.5,121.86,37325800
2023-06-01,121.81,123.4,121.61,122.71,30772700
2023-06-02,122.97,125.12,122.75,123.65,26980100
2023-06-05,122.99,126.39,122.82,124.98,32305500
2023-06-06,124.98,127.24,124.33,126.27,26638300
2023-06-07,125.93,127.98,121.12,121.5,52539000
2023-06-08,121.23,122.22,120.25,121.14,29389200
2023-06-09,121.25,122.75,120.91,121.23,23778300
2023-06-12,121.78,123.03,120.66,122.63,28306400
2023-06-13,123.96,124.13,122.17,122.81,22278300
2023-06-14,122.09,123.03,120.45,122.66,30592300
2023-06-15,122.13,124.43,121.4,124.06,35246300
2023-06-16,124.9,125.08,122.27,122.52,45535600
2023-06-20,121.92,123.55,121.14,122.09,26097500
2023-06-21,121.4,121.65,119.12,119.56,30306300
2023-06-22,119.02,122.23,117.86,122.14,26952200
