Date,Open,High,Low,Close,Volume
2023-06-09,1144.44,1145.14,1131.2,1133.0,5877018
2023-06-12,1130.06,1136.31,1125.26,1134.01,6391969
2023-06-13,1138.96,1151.95,1134.96,1150.76,11248016
2023-06-14,1150.83,1166.35,1149.0,1164.91,13277380
2023-06-15,1164.89,1169.8,1157.45,1165.23,11813494
2023-06-16,1168.72,1178.86,1168.72,1176.57,24171579
2023-06-19,1179.59,1179.59,1160.71,1164.89,6798554
2023-06-20,1162.95,1170.46,1157.22,1167.31,6921096
2023-06-21,1167.26,1173.13,1163.15,1170.59,6961603
2023-06-22,1166.81,1174.7,1155.85,1157.45,7619166
2023-06-23,1154.43,1156.49,1146.72,1147.97,6628570
2023-06-26,1144.44,1148.27,1136.08,1139.21,12641159
2023-06-27,1139.67,1145.58,1135.15,1139.62,9689466
2023-06-28,1147.18,1158.52,1140.26,1154.71,11354006
2023-06-30,1162.42,1167.1,1156.51,1164.18,11151555
2023-07-03,1167.74,1196.93,1166.51,1194.06,12154387
2023-07-04,1198.3,1198.3,1174.68,1181.76,8061643
2023-07-05,1191.0,1191.0,1175.84,1179.82,10248062
2023-07-06,1175.96,1207.18,1175.96,1204.58,19117987
2023-07-07,1202.87,1216.54,1199.67,1202.23,13375267
2023-07-10,1227.47,1258.1,1221.13,1248.54,33240016
2023-07-11,1256.69,1264.5,1249.71,1262.08,20069348
2023-07-12,1262.81,1279.1,1260.68,1263.47,18733835
2023-07-13,1270.84,1277.73,1249.55,1252.17,14682934
2023-07-14,1255.37,1260.34,1244.0,1251.12,15124144
2023-07-17,1254.0,1285.06,1245.32,1276.68,22220040
2023-07-18,1285.95,1295.29,1275.0,1287.53,25867313
2023-07-19,1291.89,1303.75,1276.82,1297.29,39122156
2023-07-20,1276.01,1301.21,1276.01,1295.72,38717624
2023-07-21,1290.36,1293.28,1248.12,1255.61,30249238
2023-07-24,1227.05,1243.84,1221.26,1230.22,23727866
2023-07-25,1233.48,1239.02,1226.56,1229.43,12026020
2023-07-26,1229.03,1259.69,1229.03,1249.41,12911012
2023-07-27,1253.29,1255.07,1231.68,1237.78,17226898
2023-07-28,1242.41,1257.64,1236.72,1250.22,20827852
2023-07-31,1250.22,1263.11,1245.33,1260.81,8551174
2023-08-01,1263.65,1265.63,1239.07,1242.98,9536632
